panel,variable,symbol,mean,median,std_dev,min,max,t_test
A,Base salary ($'000),phi,2037.0,1261.0,2570.0,97.0,22109.0,
A,Stock (%),nS,2.29,0.29,6.0,0.0,46.34,
A,Options (%),nO,1.29,0.84,1.82,0.0,24.32,
A,Options adjusted (%),nOexp(-dT),1.22,0.76,1.79,0.0,24.32,
A,Value of stock ($ m),nSP0,91.98,6.62,571.95,0.0,11814.08,
A,Value of options ($ m),nOBS,29.47,6.11,104.42,0.0,1334.43,
A,Market value ($ m),P0,9857.0,1668.0,27845.0,7.0,280114.0,
A,Wealth ($ m),W0,34.6,6.86,234.79,0.03,5431.72,
A,Option delta,N(d1),0.834,0.856,0.126,0.001,1.0,
A,Maturity (years),T,5.89,5.54,1.96,1.2,22.18,
A,Volatility,sigma,0.377,0.335,0.196,0.136,3.487,
A,Age of CEO,age,57.0,57.0,7.0,36.0,84.0,
B,Base salary ($'000),phi,1718.0,1059.0,3150.0,0.0,90000.0,3.43
B,Stock (%),nS,2.97,0.35,6.78,0.0,56.42,-3.32
B,Options (%),nO,1.45,0.96,1.88,0.0,27.93,-2.74
B,Value of stock ($ m),nSP0,132.44,6.45,1385.87,0.0,47838.75,-1.07
B,Market value ($ m),P0,8012.0,1256.0,27551.0,7.0,508329.0,2.15
B,Stock price volatility,sigma,0.435,0.384,0.205,0.136,3.487,-9.36
B,Age of CEO,age,55.0,55.0,8.0,29.0,86.0,7.41
