panel,variable,symbol,mean_paper,median_paper,std_dev_paper,min_paper,max_paper,t_test_paper,mean_rep,median_rep,std_dev_rep,min_rep,max_rep,t_test_rep,mean_abs_diff,mean_pct_diff,median_abs_diff,median_pct_diff,std_dev_abs_diff,std_dev_pct_diff,min_abs_diff,min_pct_diff,max_abs_diff,max_pct_diff,mean_abs_pct_diff
A,Base salary ($'000),phi,2037.0,1261.0,2570.0,97.0,22109.0,,2051.091066889632,1286.397,2588.1752877941353,96.89,22108.951,,14.091066889632202,0.6917558610521455,25.396999999999935,2.014036478984927,18.17528779413533,0.707209641795149,0.10999999999999943,-0.11340206185566952,0.04899999999906868,-0.0002216292007737513,0.6917558610521455
A,Stock (%),nS,2.29,0.29,6.0,0.0,46.34,,3.215660087134628,0.3474445996071118,8.422854014344544,0.0,84.89276565464895,,0.9256600871346281,40.42183786614096,0.057444599607111846,19.80848262314202,2.4228540143445443,40.38090023907574,0.0,,38.55276565464895,83.1954373212105,40.42183786614096
A,Options (%),nO,1.29,0.84,1.82,0.0,24.32,,2.1516799526451216,1.0356726166601171,3.888243418010252,0.0,55.144020356234094,,0.8616799526451215,66.79689555388539,0.19567261666011715,23.294359126204423,2.068243418010252,113.63974824232153,0.0,,30.824020356234094,126.74350475425203,66.79689555388539
A,Options adjusted (%),nOexp(-dT),1.22,0.76,1.79,0.0,24.32,,2.049796263689895,0.9402860351053512,3.7431773772602006,0.0,51.90434601513583,,0.829796263689895,68.01608718769631,0.18028603510535124,23.72184672438832,1.9531773772602006,109.11605459554193,0.0,,27.58434601513583,113.42247539118351,68.01608718769631
A,Value of stock ($ m),nSP0,91.98,6.62,571.95,0.0,11814.08,,104.23576537518542,8.986924313058466,579.635367218623,0.0,11768.776901638605,,12.255765375185419,13.324380707964142,2.3669243130584663,35.75414370178952,7.6853672186229005,1.3437131250324152,0.0,,45.303098361395314,-0.3834670017588785,13.324380707964142
A,Value of options ($ m),nOBS,29.47,6.11,104.42,0.0,1334.43,,55.66585379070028,9.28364885151056,175.0490746853743,0.0,2614.976511612197,,26.195853790700284,88.8899008846294,3.173648851510559,51.94187973012371,70.6290746853743,67.63941264640329,0.0,,1280.546511612197,95.96205957691276,88.8899008846294
A,Market value ($ m),P0,9857.0,1668.0,27845.0,7.0,280114.0,,9895.937777591975,1663.9935,27892.326189603944,4.885,278873.055,,38.937777591974736,0.3950266571165135,4.00649999999996,-0.2401978417266163,47.32618960394393,0.16996297218151887,2.115,-30.214285714285715,1240.945000000007,-0.4430142727603786,0.3950266571165135
A,Wealth ($ m),W0,34.6,6.86,234.79,0.03,5431.72,,34.32438114695194,6.763719412865514,234.8979331141167,0.03178147735488847,5431.718237315213,,0.27561885304805855,-0.7965862804857183,0.09628058713448606,-1.4035071010858027,0.1079331141167188,0.04597006436250215,0.0017814773548884694,5.938257849628231,0.0017626847875362728,-3.245168726547526e-05,0.7965862804857183
A,Option delta,N(d1),0.834,0.856,0.126,0.001,1.0,,0.8475117711286406,0.9127409901836018,0.20426959073054599,2.2648549702353193e-14,1.0,,0.01351177112864066,1.6201164422830527,0.05674099018360179,6.628620348551611,0.07826959073054598,62.11872280202062,0.0009999999999773515,-99.99999999773515,0.0,0.0,1.6201164422830527
A,Maturity (years),T,5.89,5.54,1.96,1.2,22.18,,5.537177544664517,5.499541829692843,2.3590275621559806,0.9999999999655733,23.430683959823654,,0.35282245533548284,-5.99019448786898,0.040458170307156927,-0.7302918828006665,0.3990275621559807,20.358549089590852,0.20000000003442664,-16.666666669535555,1.2506839598236539,5.638791523100333,5.99019448786898
A,Volatility,sigma,0.377,0.335,0.196,0.136,3.487,,0.37885785953177253,0.3385,0.19642981330373377,0.136,3.487,,0.0018578595317725322,0.4928009368096902,0.003500000000000003,1.0447761194029859,0.0004298133037337615,0.21929250190498034,0.0,0.0,0.0,0.0,0.4928009368096902
A,Age of CEO,age,57.0,57.0,7.0,36.0,84.0,,56.92844364937388,57.0,7.1154254345506605,36.0,84.0,,0.07155635062611765,-0.12553745723880289,0.0,0.0,0.11542543455066046,1.6489347792951494,0.0,0.0,0.0,0.0,0.12553745723880289
B,Base salary ($'000),phi,1718.0,1059.0,3150.0,0.0,90000.0,3.43,1629.4648460687959,1029.9825,2195.4296599536597,0.0,30419.375999999997,,88.53515393120415,-5.15338497853342,29.017499999999927,-2.7400849858356873,954.5703400463403,-30.30382031893144,0.0,,59580.624,-66.20069333333333,5.15338497853342
B,Stock (%),nS,2.97,0.35,6.78,0.0,56.42,-3.32,3.188373754392933,0.49977233310652447,7.062447950430924,0.0,62.97999999999999,,0.21837375439293272,7.352651663061708,0.1497723331065245,42.792095173292715,0.28244795043092363,4.165898973907428,0.0,,6.559999999999988,11.62708259482451,7.352651663061708
B,Options (%),nO,1.45,0.96,1.88,0.0,27.93,-2.74,2.4635803617300316,1.0909559066699122,4.45376615321321,0.0,62.27047891350964,,1.0135803617300316,69.90209391241598,0.1309559066699122,13.641240278115854,2.57376615321321,136.9024549581495,0.0,,34.34047891350964,122.9519474167907,69.90209391241598
B,Value of stock ($ m),nSP0,132.44,6.45,1385.87,0.0,47838.75,-1.07,133.4587044509486,7.2262576,1372.6517021208876,0.0,46897.96753236,,1.0187044509486043,0.769181856651015,0.7762576000000001,12.035001550387598,13.218297879112242,-0.953790606558497,0.0,,940.7824676399978,-1.9665699200752482,0.769181856651015
B,Market value ($ m),P0,8012.0,1256.0,27551.0,7.0,508329.0,2.15,7486.211927250308,1133.9295,27865.8470996265,3.028,507216.647,,525.7880727496922,-6.562507148648181,122.07050000000004,-9.718988853503188,314.8470996264987,1.1427792081104087,3.972,-56.74285714285714,1112.3530000000028,-0.21882540638051398,6.562507148648181
B,Stock price volatility,sigma,0.435,0.384,0.205,0.136,3.487,-9.36,0.43778357142857144,0.3875,0.206625841387055,0.136,3.487,,0.002783571428571441,0.6399014778325152,0.003500000000000003,0.911458333333334,0.001625841387055016,0.7930933595390321,0.0,0.0,0.0,0.0,0.6399014778325152
