panel,variable,symbol,mean,median,std_dev,min,max,t_test
A,Base salary ($'000),phi,2051.091066889632,1286.397,2588.1752877941353,96.89,22108.951,
A,Stock (%),nS,3.215660087134628,0.3474445996071118,8.422854014344544,0.0,84.89276565464895,
A,Options (%),nO,2.1516799526451216,1.0356726166601171,3.888243418010252,0.0,55.144020356234094,
A,Options adjusted (%),nOexp(-dT),2.049796263689895,0.9402860351053512,3.7431773772602006,0.0,51.90434601513583,
A,Value of stock ($ m),nSP0,104.23576537518542,8.986924313058466,579.635367218623,0.0,11768.776901638605,
A,Value of options ($ m),nOBS,55.66585379070028,9.28364885151056,175.0490746853743,0.0,2614.976511612197,
A,Market value ($ m),P0,9895.937777591975,1663.9935,27892.326189603944,4.885,278873.055,
A,Wealth ($ m),W0,34.32438114695194,6.763719412865514,234.8979331141167,0.03178147735488847,5431.718237315213,
A,Option delta,N(d1),0.8475117711286406,0.9127409901836018,0.20426959073054599,2.2648549702353193e-14,1.0,
A,Maturity (years),T,5.537177544664517,5.499541829692843,2.3590275621559806,0.9999999999655733,23.430683959823654,
A,Volatility,sigma,0.37885785953177253,0.3385,0.19642981330373377,0.136,3.487,
A,Age of CEO,age,56.92844364937388,57.0,7.1154254345506605,36.0,84.0,
B,Base salary ($'000),phi,1662.6688881428572,1057.3515000000002,2119.8845860825018,0.0,22108.951,
B,Stock (%),nS,2.9751778235128157,0.43223959964852243,6.610993010208584,0.0,58.352606544901064,
B,Options (%),nO,2.5577293468889373,1.131379417389725,4.596220519357536,0.0,62.27047891350964,
B,Value of stock ($ m),nSP0,128.07734032467485,7.437655540000001,1357.4218028370392,0.0,46897.96753236,
B,Market value ($ m),P0,7850.217356428572,1223.1889999999999,27185.641232829446,4.885,507216.647,
B,Stock price volatility,sigma,0.43778357142857144,0.3875,0.206625841387055,0.136,3.487,
B,Age of CEO,age,55.08473282442748,55.0,7.863017198414238,29.0,86.0,
